#1.2	
15744	8
XM_047163841.1	na
XM_047163842.1	na
XM_047163843.1	na
XM_047163845.1	na
XM_047163847.1	na
XM_047163848.1	na
XM_047163849.1	na
XM_047163854.1	na
XM_047163859.1	na
XM_047163860.1	na
XM_047163862.1	na
XM_047163863.1	na
XM_047163864.1	na
XM_047163865.1	na
XM_047163866.1	na
XM_047163867.1	na
XM_047163868.1	na
XM_047163869.1	na
XM_047163870.1	na
XM_047163872.1	na
XM_047163873.1	na
XM_047163874.1	na
XM_047163875.1	na
XM_047163877.1	na
XM_047163881.1	na
XM_047163882.1	na
XM_047163885.1	na
XM_047163888.1	na
XM_047163890.1	na
XM_047163891.1	na
XM_047163893.1	na
XM_047163894.1	na
XM_047163896.1	na
XM_047163897.1	na
XM_047163899.1	na
XM_047163900.1	na
XM_047163901.1	na
XM_047163902.1	na
XM_047163904.1	na
XM_047163905.1	na
XM_047163906.1	na
XM_047163907.1	na
XM_047163908.1	na
XM_047163910.1	na
XM_047163913.1	na
XM_047163917.1	na
XM_047163918.1	na
XM_047163919.1	na
XM_047163921.1	na
XM_047163922.1	na
XM_047163925.1	na
XM_047163926.1	na
XM_047163927.1	na
XM_047163928.1	na
XM_047163929.1	na
XM_047163930.1	na
XM_047163932.1	na
XM_047163933.1	na
XM_047163934.1	na
XM_047163936.1	na
XM_047163937.1	na
XM_047163940.1	na
XM_047163945.1	na
XM_047163946.1	na
XM_047163947.1	na
XM_047163954.1	na
XM_047163955.1	na
XM_047163959.1	na
XM_047163960.1	na
XM_047163965.1	na
XM_047163969.1	na
XM_047163970.1	na
XM_047163971.1	na
XM_047163973.1	na
XM_047163975.1	na
XM_047163976.1	na
XM_047163981.1	na
XM_047163982.1	na
XM_047163983.1	na
XM_047163984.1	na
XM_047163985.1	na
XM_047163986.1	na
XM_047163987.1	na
XM_047163988.1	na
XM_047163989.1	na
XM_047163990.1	na
XM_047163991.1	na
XM_047163992.1	na
XM_047163993.1	na
XM_047163995.1	na
XM_047163997.1	na
XM_047163998.1	na
XM_047163999.1	na
XM_047164000.1	na
XM_047164001.1	na
XM_047164002.1	na
XM_047164003.1	na
XM_047164004.1	na
XM_047164005.1	na
XM_047164013.1	na
XM_047164014.1	na
XM_047164015.1	na
XM_047164017.1	na
XM_047164022.1	na
XM_047164027.1	na
XM_047164028.1	na
XM_047164029.1	na
XM_047164030.1	na
XM_047164031.1	na
XM_047164032.1	na
XM_047164034.1	na
XM_047164039.1	na
XM_047164040.1	na
